# 骨
U+9AA8	骨	⿱冎⺼
U+4C7B	䱻	⿰魚骨
U+21ECB	𡻋	⿰山骨
U+25244	𥉄	⿰目骨
U+25833	𥠳	⿰禾骨
U+267BD	𦞽	⿰⺼骨
U+280F4	𨃴	⿰𧾷骨
U+29A33	𩨳	⿰出骨
U+29A47	𩩇	⿰充骨
U+29A6A	𩩪	⿰昌骨
U+2A125	𪄥	⿰鳥骨
U+2C6DF	𬛟	⿰脚骨
U+30931	𰤱	⿰皮骨

# hkcs_m9aa8-p02-s01
U+4DA4	䶤	⿰齒骨

# hkcs_m9aa8-p02-s02
U+69BE	榾	⿰木骨
U+7E0E	縎	⿰糸骨
U+4BA9	䮩	⿰馬骨

# Simplifications
U+9989	馉	⿰饣骨
U+9E58	鹘	⿰骨鸟
U+26214	𦈔	⿰纟骨
U+2EB21	𮬡	⿰鱼骨
U+310B5	𱂵	⿰骨页

# hkcs_m4bc9
U+2104C	𡁌	⿰口䯉

# hkcs_m6ed1
U+20FED	𠿭	⿰口滑

# hkcs_m267bd
U+23757	𣝗	⿰木𦞽
