# 門
U+9580	門		⿰𠁣𠃛

# Source Code Separation
U+95B2	閲	閱
U+28D6E	𨵮	⿵門重
U+28D71	𨵱	⿵門屋
U+28D74	𨵴	⿵門南
U+28D76	𨵶	⿵門昜
U+28D77	𨵷	⿵門𥁕
U+28D78	𨵸	⿵門便
U+28D79	𨵹	⿵門舁
U+28D7A	𨵺	⿵門係
U+28D7D	𨵽	⿵門昬
U+28D80	𨶀	⿵門荅
U+28D81	𨶁	⿵門晏
U+28D82	𨶂	⿵門益
U+28D83	𨶃	⿵門託
U+28D85	𨶅	⿵門羔
U+28D86	𨶆	⿵門倉
U+28D87	𨶇	⿵門烏
U+28D88	𨶈	⿵門唐
U+28D89	𨶉	⿵門孫
U+28D91	𨶑	⿵門臭
U+28D99	𨶙	⿵門能
U+28DA1	𨶡	⿵門悥
U+28DAA	𨶪	⿵門翏
U+28DAE	𨶮	⿵門壹
U+28DAF	𨶯	⿵門黑
U+28DB2	𨶲	⿵門焦
U+28DB3	𨶳	⿵門視
U+28DBF	𨶿	⿵門登
U+28DC5	𨷅	⿵門廛
U+28DC8	𨷈	⿵門萬
U+28DE0	𨷠	⿵門廛
U+28DE9	𨷩	⿵門頭
U+28DEF	𨷯	⿵門舉
U+28DF1	𨷱	⿵門繇
U+28DF2	𨷲	⿵門龠
U+28DF3	𨷳	⿵門薦
U+28DF6	𨷶	⿰舉門
U+28DF8	𨷸	⿵門䌛
U+28DFA	𨷺	⿵門龜
U+2B518	𫔘	⿵門丨
U+2B51F	𫔟	⿵門代
U+2CB85	𬮅	⿵門力
U+2CB87	𬮇	⿵門犬
U+2CB8D	𬮍	⿵門洪
U+2D459	𭑙	⿱天門
U+2E909	𮤉	⿵門欠
U+2E90B	𮤋	⿵門央
U+2E90E	𮤎	⿵門光
U+2E90F	𮤏	⿵門江
U+30FD8	𰿘	⿵門万
U+30FDD	𰿝	⿵門六
U+30FE2	𰿢	⿵門空
U+30FE3	𰿣	⿵門封

# hkcs_m9580-p02-s00
U+5011	們	⿰亻門
U+636B	捫	⿰扌門
U+691A	椚	⿰木門
U+9346	鍆	⿰金門
U+3943	㥃	⿰忄門
U+20D58	𠵘	⿰口門
U+2A636	𪘶	⿰齒門

# hkcs_m9580-p05-s00
U+95D5	闕	⿵門欮
U+28D24	𨴤	⿵門汒
U+28D34	𨴴	⿵門兵
U+28D3B	𨴻	⿵門里
U+28D45	𨵅	⿵門何
U+28D46	𨵆	⿵門系
U+28D4C	𨵌	⿵門阿
U+28D57	𨵗	⿵門卦
U+28D6C	𨵬	⿵門限
U+28D8F	𨶏	⿵門缺
U+28D96	𨶖	⿵門𣴠
U+28DBB	𨶻	⿵門童
U+28DC6	𨷆	⿵門䪞
U+2E912	𮤒	⿵門靑

# hkcs_m9583-p02-s00
U+718C	熌	⿰火閃
U+95B7	閷	⿰杀閃
U+3A1B	㨛	⿰扌閃
U+3D38	㴸	⿰氵閃
U+4061	䁡	⿰目閃
U+483E	䠾	⿰身閃
U+25855	𥡕	⿰禾閃
U+2AB16	𪬖	⿰忄閃
U+2CFC2	𬿂	⿰亻閃

# hkcs_m9589
U+20EFB	𠻻	⿰口閉
U+30741	𰝁	⿰氵閉

# hkcs_m958b
U+9426	鐦	⿰金開
U+236E3	𣛣	⿰木開
U+24872	𤡲	⿰犭開
U+2B678	𫙸	⿰魚開

# hkcs_m958f
U+648B	撋	⿰扌閏
U+6A4D	橍	⿰木閏
U+6F64	潤	⿰氵閏
U+77A4	瞤	⿰目閏
U+81B6	膶	⿰⺼閏
U+3808	㠈	⿰山閏

# hkcs_m9594
U+7C22	簢	⿱竹閔
U+2287B	𢡻	⿱閔心

# hkcs_m9594-p02-s00
U+61AB	憫	⿰忄閔
U+6F63	潣	⿰氵閔
U+71D8	燘	⿰火閔
U+20393	𠎓	⿰亻閔
U+21884	𡢄	⿰女閔
U+2DE7A	𭹺	⿰王閔

# hkcs_m9595
U+20F6B	𠽫	⿰口閕

# hkcs_m959c
U+35FF	㗿	⿰口閜

# hkcs_m959e
U+218B8	𡢸	⿰女閞
U+25D25	𥴥	⿱竹閞

# hkcs_m95a3-p02-s00
U+64F1	擱	⿰扌閣
U+6ACA	櫊	⿰木閣
U+21064	𡁤	⿰口閣
U+24050	𤁐	⿰氵閣
U+281BF	𨆿	⿰𧾷閣
U+2A9AB	𪦫	⿰女閣
U+2D7C9	𭟉	⿰忄閣
U+307EB	𰟫	⿰火閣

# hkcs_m95a9
U+2405D	𤁝	⿰氵閩

# hkcs_m95ac
U+455E	䕞	⿱艹閬

# hkcs_m95ad
U+6ADA	櫚	⿰木閭
U+4561	䕡	⿱艹閭
U+4968	䥨	⿰金閭
U+24075	𤁵	⿰氵閭
U+25D86	𥶆	⿱竹閭

# hkcs_m95b1
U+27032	𧀲	⿱艹閱

# hkcs_m95b5
U+85FA	藺	⿱艹閵
U+426E	䉮	⿱竹閵

# hkcs_m95b5-p02-s00
U+8E99	躙	⿰𧾷閵

# hkcs_m85fa-p02-s00
U+8EAA	躪	⿰𧾷藺
U+8F65	轥	⿰車藺
U+25F7C	𥽼	⿰米藺
U+2865F	𨙟	⿺辶藺

# hkcs_m95b9
U+24477	𤑷	⿰火閹

# hkcs_m95bb
U+25DBF	𥶿	⿱竹閻
U+27084	𧂄	⿱艹閻

# hkcs_m95bb-p02-s00
U+56AA	嚪	⿰口閻
U+58DB	壛	⿰土閻
U+6AE9	櫩	⿰木閻
U+7213	爓	⿰火閻
U+8B87	讇	⿰言閻
U+3D84	㶄	⿰氵閻
U+3FD5	㿕	⿸疒閻
U+432A	䌪	⿰糸閻
U+20429	𠐩	⿰亻閻
U+218FD	𡣽	⿰女閻
U+22E34	𢸴	⿰扌閻
U+24BD0	𤯐	⿰甘閻
U+25338	𥌸	⿰目閻
U+268A8	𦢨	⿰⺼閻
U+281DD	𨇝	⿰𧾷閻

# hkcs_m95ca
U+24103	𤄃	⿰氵闊

# hkcs_m95cd
U+21122	𡄢	⿰口闍

# hkcs_m95ce-p02-s00
U+7041	灁	⿰氵闎

# hkcs_m95d0
U+28C0E	𨰎	⿰金闐

# hkcs_m95d2
U+27131	𧄱	⿱艹闒

# hkcs_m95d2-p02-s00
U+8EA2	躢	⿰𧾷闒
U+214F2	𡓲	⿰土闒
U+244BB	𤒻	⿰火闒
U+27B91	𧮑	⿰言闒
U+28C0F	𨰏	⿰金闒

# hkcs_m95d6
U+3D92	㶒	⿰氵闖

# hkcs_m95dc
U+21921	𡤡	⿰女關

# hkcs_m95de
U+77D9	矙	⿰目闞
U+361A	㘚	⿰口闞

# hkcs_m95e1
U+705B	灛	⿰氵闡

# hkcs_m499a
U+6FF6	濶	⿰氵䦚

# hkcs_m49a7
U+39A6	㦦	⿰忄䦧
U+22170	𢅰	⿰巾䦧

# hkcs_m28cd0
U+8505	蔅	⿱艹𨳐

# hkcs_m28d69
U+2C8D6	𬣖	⿰言𨵩

# hkcs_m30fd8
U+2484C	𤡌	⿰犭𰿘

# hkcs_m95d5-p02-s00
U+704D	灍	⿰氵闕

# hkcs_m95d5-p02-s10
U+255EE	𥗮	⿰石闕
U+281EE	𨇮	⿰𧾷闕

# Simplifications
U+95E8	门	门
U+4EEC	们	⿰亻门
U+626A	扪	⿰扌门
U+8A1A	訚	⿵门言
U+9494	钔	⿰钅门
U+95E9	闩	⿵门一
U+95EA	闪	⿵门人
U+95EB	闫	⿵门三
U+95EC	闬	⿵门干
U+95ED	闭	⿵门才
U+95FB	闻	⿵门耳
U+2CB98	𬮘	⿰门人
U+2CB9F	𬮟	⿵门火
U+2E92B	𮤫	⿵门丁
U+95F6	闶	⿵门亢
U+28E02	𨸂	⿵门方
U+95F3	闳	⿵门厷
U+28E03	𨸃	⿵门毛
U+2B52F	𫔯	⿵门斗
U+95F8	闸	⿵门甲
U+2B802	𫠂	⿵门令
U+2B530	𫔰	⿵门弁
U+2E932	𮤲	⿵门必
U+9602	阂	⿵门亥
U+2CBA4	𬮤	⿵门合
U+9600	阀	⿵门伐
U+2CBA5	𬮥	⿵门众
U+2CBA2	𬮢	⿵门共
U+95FA	闺	⿵门圭
U+95FD	闽	⿵门虫
U+9603	阃	⿵门困
U+9606	阆	⿵门良
U+2CBAA	𬮪	⿵门沙
U+9605	阅	⿵门兌
U+960A	阊	⿵门昌
U+9609	阉	⿵门奄
U+960F	阏	⿵门於
U+960D	阍	⿵门昏
U+9608	阈	⿵门或
U+960C	阌	⿵门受
U+9612	阒	⿵门狊
U+2CBB2	𬮲	⿵门要
U+2CBB3	𬮳	⿵门品
U+2CBB4	𬮴	⿵门音
U+95F1	闱	⿵门韦
U+2CBB1	𬮱	⿵门垔
U+9614	阔	⿵门活
U+9615	阕	⿵门癸
U+9607	阇	⿵门者
U+9617	阗	⿵门眞
U+2B536	𫔶	⿵门臬
U+9618	阘	⿵门𦐇
U+9616	阖	⿵门盍
U+95EF	闯	⿵门马
U+2CBAD	𬮭	⿵门規
U+961B	阛	⿵门睘
U+2E92C	𮤬	⿵门土
U+28E04	𨸄	⿵门艮
U+49B6	䦶	⿵门爭
U+2CBA8	𬮨	⿵门赤
U+49B7	䦷	⿵门坐
U+2B535	𫔵	⿵门致
U+30FE6	𰿦	⿱𠄟门
U+28E01	𨸁	⿵门亡
U+2E92D	𮤭	⿵门小
U+28E00	𨸀	⿵门子
U+2E92F	𮤯	⿵门內
U+2CB9C	𬮜	⿵门天
U+2CBA1	𬮡	⿵门外
U+2CBA3	𬮣	⿵门匡
U+28E05	𨸅	⿵门至
U+2B532	𫔲	⿵门孝
U+2CBAE	𬮮	⿵门奇
U+28E06	𨸆	⿵门畐
U+28E07	𨸇	⿵门便
U+28E09	𨸉	⿵门荅
U+28E0C	𨸌	⿵门壹
U+2E938	𮤸	⿵门黑
U+28E0B	𨸋	⿵门焦
U+2CBB9	𬮹	⿵门登
U+2CB99	𬮙	⿵门万
U+28E0E	𨸎	⿵门龠
U+30FE5	𰿥	⿵门丨
U+2CB9D	𬮝	⿵门犬
U+2E937	𮤷	⿵门洪
U+2E92E	𮤮	⿱天门
U+2E933	𮤳	⿵门江
U+2E936	𮤶	⿵门空
U+2DA5B	𭩛	⿰木门
U+2BA56	𫩖	⿰口门
U+2CBA7	𬮧	⿵门汒
U+2CBA9	𬮩	⿵门系
U+2CBB0	𬮰	⿵门阿
U+2CBAF	𬮯	⿵门卦
U+2CBB5	𬮵	⿵门限
U+28E0A	𨸊	⿵门缺
U+2CBB8	𬮸	⿵门童
U+2CBAC	𬮬	⿵门靑

U+961A	阚	⿵门敢
U+360E	㘎	⿰口阚

U+2B52D	𫔭	⿵门⿱一廾
U+950E	锎	⿰钅𫔭
U+2C0BB	𬂻	⿰木𫔭

U+95F0	闰	⿵门王
U+6DA6	润	⿰氵闰
U+251A7	𥆧	⿰目闰
U+2C080	𬂀	⿰⺼闰

