# 亲
U+4EB2	亲	⿻䇂木	⿱立木

# hkcs_m4eb2
U+5A87	媇	⿰女亲
U+202C6	𠋆	⿰亻亲
U+21A41	𡩁	⿱宀亲

# hkcs_m4eb2-p01-s00
U+65B0	新	⿰亲斤
U+89AA	親	⿰亲見
U+2C52B	𬔫	⿰亲買

# hkcs_m65b0
U+567A	噺	⿰口新
U+6FB5	澵	⿰氵新
U+85AA	薪	⿱艹新
U+372A	㜪	⿱新女
U+28441	𨑁	⿱興新
U+2B680	𫚀	⿰魚新

# hkcs_m89aa
U+512D	儭	⿰亻親
U+56AB	嚫	⿰口親
U+5BF4	寴	⿱宀親
U+6AEC	櫬	⿰木親
U+7019	瀙	⿰氵親
U+85FD	藽	⿱艹親
U+896F	襯	⿰衤親
U+478B	䞋	⿰貝親
U+21905	𡤅	⿰女親
U+255D2	𥗒	⿰石親
U+2E72A	𮜪	⿰𧾷親

# Simplifications
U+6987	榇	⿰木亲
U+3071C	𰜜	⿰氵亲
