# 右
U+53F3	右	⿸𠂇口

# hkcs_m53f3
U+219E3	𡧣	⿱宀右
U+25053	𥁓	⿱右皿

# hkcs_m53f3-p01-s00
U+49FA	䧺	⿰右隹
U+29472	𩑲	⿰右頁

# hkcs_m53f3-p02-s00
U+4F51	佑	⿰亻右
U+7950	祐	⿰示右
U+3911	㤑	⿰忄右
U+3CD3	㳓	⿰氵右
U+216EE	𡛮	⿰女右
U+250A0	𥂠	⿱⿰臣右皿
U+2E206	𮈆	⿰糸右

# hkcs_m53f3-p02-s01
U+2D817	𭠗	⿰扌右

# hkcs_m4f51
U+341B	㐛	⿱佑乙
U+2DE50	𭹐	⿰王佑

# hkcs_m7950
U+2DE6E	𭹮	⿰王祐
