# 名
U+540D	名	⿱夕口

# hkcs_m540d
U+8317	茗	⿱艹名
U+369A	㚚	⿱大名

# hkcs_m540d-p01-s00
U+35EE	㗮	⿰名庚
U+21156	𡅖	⿰名養
U+215BA	𡖺	⿰名夜
U+22EC7	𢻇	⿰名支

# hkcs_m540d-p02-s00
U+4F72	佲	⿰亻名
U+59F3	姳	⿰女名
U+7733	眳	⿰目名
U+8A7A	詺	⿰言名
U+9169	酩	⿰酉名
U+9298	銘	⿰金名
U+3AE5	㫥	⿰日名
U+4285	䊅	⿰米名
U+20C77	𠱷	⿰口名
U+24941	𤥁	⿰王名
U+253CD	𥏍	⿰矢名
U+2548A	𥒊	⿰石名
U+2A5F8	𪗸	⿰齒名
U+2DA79	𭩹	⿰木名

# hkcs_m369a-p02-s00
U+25507	𥔇	⿰石㚚

# Simplifications
U+94ED	铭	⿰钅名
U+2C8EE	𬣮	⿰讠名
