# 鳥
U+9CE5	鳥	⿹{hkcs-9ce5-c01}灬
# hkcs_m9ce5-p02-s03
U+9E02	鸂	⿰溪鳥
U+2A0E5	𪃥	⿰相鳥
U+2A107	𪄇	⿰釜鳥
U+2A18C	𪆌	⿰朙鳥
U+2A198	𪆘	⿰朝鳥
U+2A19D	𪆝	⿰敦鳥
U+2A1A0	𪆠	⿰富鳥
U+2A1A9	𪆩	⿰就鳥
U+2A1B2	𪆲	⿰賈鳥
U+2A1BC	𪆼	⿰雷鳥
U+2A1C4	𪇄	⿰⿱{hkcs-23a8a-c01}卵鳥
U+2A1D2	𪇒	⿰精鳥
U+2A218	𪈘	⿰薨鳥

# hkcs_m9ce5-p04-s00
U+7A52	穒	⿱禾鳥
U+7AB5	窵	⿱穴鳥
U+9D1B	鴛	⿱夗鳥
U+9D5E	鵞	⿱我鳥
U+9D96	鶖	⿱秋鳥
U+9DA9	鶩	⿱敄鳥
U+9DBF	鶿	⿱兹鳥
U+9DD5	鷕	⿱唯鳥
U+9DD6	鷖	⿱殹鳥
U+9DD8	鷘	⿱敕鳥
U+9DD9	鷙	⿱執鳥
U+9DDF	鷟	⿱族鳥
U+9DE9	鷩	⿱敝鳥
U+9DF2	鷲	⿱就鳥
U+9DFA	鷺	⿱路鳥
U+9DFD	鷽	⿱𦥯鳥
U+4CF1	䳱	⿱務鳥
U+4CF2	䳲	⿱振鳥
U+4CFB	䳻	⿱斬鳥
U+29FAD	𩾭	⿱千鳥
U+29FC8	𩿈	⿱分鳥
U+2A01B	𪀛	⿱巩鳥
U+2A021	𪀡	⿱㓞鳥
U+2A027	𪀧	⿱老鳥
U+2A03B	𪀻	⿱牝鳥
U+2A03E	𪀾	⿱舛鳥
U+2A05A	𪁚	⿱{hkcs-4eac-v01}鳥
U+2A07B	𪁻	⿱析鳥
U+2A07F	𪁿	⿱松鳥
U+2A09F	𪂟	⿱㡀鳥
U+2A0A3	𪂣	⿱隹鳥
U+2A0B5	𪂵	⿱或鳥
U+2A0BC	𪂼	⿱相鳥
U+2A0D8	𪃘	⿱哉鳥
U+2A0E3	𪃣	⿱春鳥
U+2A0E7	𪃧	⿱眇鳥
U+2A0FB	𪃻	⿱脈鳥
U+2A105	𪄅	⿱殺鳥
U+2A10E	𪄎	⿱格鳥
U+2A12B	𪄫	⿱涂鳥
U+2A12F	𪄯	⿱規鳥
U+2A14F	𪅏	⿱𣪊鳥
U+2A15A	𪅚	⿱眽鳥
U+2A16B	𪅫	⿱域鳥
U+2A17F	𪅿	⿱隋鳥
U+2A183	𪆃	⿱敦鳥
U+2A191	𪆑	⿱嗀鳥
U+2A1D7	𪇗	⿱穀鳥
U+2A1FA	𪇺	⿰黍⿱𠚣鳥
U+2A210	𪈐	⿱賴鳥

# hkcs_m9ce5-p04-s01
U+5D8C	嶌	⿱山鳥
U+8526	蔦	⿱艹鳥
U+9D0C	鴌	⿱天鳥
U+9D0D	鴍	⿱文鳥
U+9D10	鴐	⿱加鳥
U+9D11	鴑	⿱奴鳥
U+9D1C	鴜	⿱此鳥
U+9D26	鴦	⿱央鳥
U+9D37	鴷	⿱列鳥
U+9D3D	鴽	⿱如鳥
U+9D40	鵀	⿱任鳥
U+9D5F	鵟	⿱狂鳥
U+9D65	鵥	⿱判鳥
U+9D79	鵹	⿱𥝢鳥
U+9DA6	鶦	⿱胡鳥
U+9DAD	鶭	⿱紡鳥
U+9DAF	鶯	⿱𤇾鳥
U+9DB1	鶱	⿱𡨄鳥
U+9DD4	鷔	⿱敖鳥
U+9DE5	鷥	⿱絲鳥
U+9DF0	鷰	⿱{hkcs-71d5-c01}鳥
U+9DFF	鷿	⿱辟鳥
U+9E04	鸄	⿱敫鳥
U+9E09	鸉	⿱楊鳥
U+9E0E	鸎	⿱賏鳥
U+9E11	鸑	⿱獄鳥
U+9E12	鸒	⿱與鳥
U+9E17	鸗	⿱龍鳥
U+9E1E	鸞	⿱䜌鳥
U+4246	䉆	⿱竹鳥
U+4CB5	䲵	⿱少鳥
U+4CD0	䳐	⿱次鳥
U+4CD4	䳔	⿱𦥑鳥
U+4CF7	䳷	⿱從鳥
U+4CF8	䳸	⿸麻鳥
U+4D0E	䴎	⿱畾鳥
U+20443	𠑃	⿱佶鳥
U+29FD4	𩿔	⿱反鳥
U+29FE4	𩿤	⿱札鳥
U+2A01D	𪀝	⿱屰鳥
U+2A02A	𪀪	⿱休鳥
U+2A02E	𪀮	⿱好鳥
U+2A050	𪁐	⿱利鳥
U+2A055	𪁕	⿱沃鳥
U+2A058	𪁘	⿱汪鳥
U+2A085	𪂅	⿱枝鳥
U+2A08F	𪂏	⿱非鳥
U+2A0A1	𪂡	⿱明鳥
U+2A0C1	𪃁	⿱保鳥
U+2A0C2	𪃂	⿱流鳥
U+2A0F9	𪃹	⿱卽鳥
U+2A100	𪄀	⿱般鳥
U+2A119	𪄙	⿱䀠鳥
U+2A12A	𪄪	⿱勑鳥
U+2A134	𪄴	⿱敏鳥
U+2A147	𪅇	⿱𮎳鳥
U+2A170	𪅰	⿱舒鳥
U+2A1A6	𪆦	⿱須鳥
U+2A1C0	𪇀	⿱鼓鳥
U+2A1C2	𪇂	⿱㷤鳥
U+2A20F	𪈏	⿱燕鳥
U+2B6BF	𫚿	⿱攸鳥
U+2B6C9	𫛉	⿱耶鳥
U+2EB3C	𮬼	⿱知鳥
U+31222	𱈢	⿱凹鳥

# hkcs_m9ce5-p04-s02
U+9CF6	鳶	⿱弋鳥
U+4CBE	䲾	⿱巧鳥

# hkcs_m9ce5-p04-s03
U+4CA5	䲥	⿱九鳥
U+4CB6	䲶	⿱元鳥
U+2A04A	𪁊	⿱折鳥
U+2A0A6	𪂦	⿱宛鳥
U+2A1FB	𪇻	⿱誰鳥

# hkcs_m9ce5-p04-s04
U+2A0C5	𪃅	⿱削鳥
U+2A197	𪆗	⿱斯鳥
U+2B6CA	𫛊	⿱飛鳥

# hkcs_m4cb7
U+210A2	𡂢	⿰口䲷

# hkcs_m2a15d
U+2A23C	𪈼	⿱鳥𪅝

# hkcs_m9d36
U+4575	䕵	⿱艹鴶

# hkcs_m9d59
U+2711E	𧄞	⿱艹鵙

# hkcs_m9d82
U+27137	𧄷	⿱艹鶂

# hkcs_m9d92-p02-s00
U+2A19F	𪆟	⿰氵鶒

# hkcs_m9dca
U+8649	虉	⿱艹鷊

# hkcs_m4ccd
U+2A0E1	𪃡	⿰氵䳍

# hkcs_m4cf5-p02-s00
U+2A1B5	𪆵	⿰氵䳵

# hkcs_m29fb7
U+218F4	𡣴	⿰女𩾷

# hkcs_m2a146
U+2716F	𧅯	⿱艹𪅆

# hkcs_m2a1e0
U+2417C	𤅼	⿰氵𪇠

# hkcs_m9daa
U+27156	𧅖	⿱艹鶪

# hkcs_m9ce9
U+30CDF	𰳟	⿰虫鳩

# hkcs_m9d3b
U+2B293	𫊓	⿱艹鴻

# hkcs_m9d6d
U+974E	靎	⿱雨鵭

# Simplifications
U+9E1F	鸟	⿹{hkcs-9e1f-c01}一
U+51EB	凫	⿱{hkcs-9e1f-c01}𠘧

U+7A8E	窎	⿱穴鸟
U+8311	茑	⿱艹鸟
U+2C1AE	𬆮	⿹𣪊鸟
U+3129C	𱊜	⿱鸟⿰鸟鸟

U+9E35	鸵	⿰鸟它
U+9E71	鹱	⿰鸟蒦
U+2A255	𪉕	⿰鸟箴
U+2B6DE	𫛞	⿰鸟夬
U+2B6E3	𫛣	⿰鸟穴
U+2B6FA	𫛺	⿰鸟侯
U+2B705	𫜅	⿰鸟睘
U+2CDFD	𬷽	⿰鸟了
U+2CE12	𬸒	⿰鸟其
U+31247	𱉇	⿰鸟𠃉
U+3124B	𱉋	⿰鸟干
U+31255	𱉕	⿰鸟可
U+31259	𱉙	⿰鸟只
U+31263	𱉣	⿰鸟戎
U+31267	𱉧	⿹𢦏鸟
U+31278	𱉸	⿰鸟余
U+3127F	𱉿	⿰鸟夋
U+31284	𱊄	⿰鸟兒
U+31285	𱊅	⿰鸟隹
U+312A8	𱊨	⿰鸟渠

U+9E20	鸠	⿰九鸟
U+9E23	鸣	⿰口鸟
U+9E26	鸦	⿰牙鸟
U+9E28	鸨	⿰𠤏鸟
U+9E29	鸩	⿰冘鸟
U+9E2A	鸪	⿰古鸟
U+9E2D	鸭	⿰甲鸟
U+9E2E	鸮	⿰号鸟
U+9E30	鸰	⿰令鸟
U+9E31	鸱	⿰氐鸟
U+9E32	鸲	⿰句鸟
U+9E33	鸳	⿱夗鸟
U+9E36	鸶	⿱丝鸟
U+9E38	鸸	⿰而鸟
U+9E39	鸹	⿰{hkcs-20bd1-v01}鸟
U+9E3B	鸻	⿰行鸟
U+9E3C	鸼	⿰舟鸟
U+9E3D	鸽	⿰合鸟
U+9E3F	鸿	⿰江鸟
U+9E40	鹀	⿰巫鸟
U+9E43	鹃	⿰肙鸟
U+9E45	鹅	⿰我鸟
U+9E46	鹆	⿰谷鸟
U+9E48	鹈	⿰弟鸟
U+9E49	鹉	⿰武鸟
U+9E4A	鹊	⿰昔鸟
U+9E4B	鹋	⿰苗鸟
U+9E4C	鹌	⿰奄鸟
U+9E4D	鹍	⿰昆鸟
U+9E4E	鹎	⿰卑鸟
U+9E4F	鹏	⿰朋鸟
U+9E50	鹐	⿰臽鸟
U+9E51	鹑	⿰享鸟
U+9E52	鹒	⿰庚鸟
U+9E53	鹓	⿰宛鸟
U+9E55	鹕	⿰胡鸟
U+9E56	鹖	⿰曷鸟
U+9E57	鹗	⿰咢鸟
U+9E58	鹘	⿰骨鸟
U+9E59	鹙	⿱秋鸟
U+9E5A	鹚	⿰兹鸟
U+9E5B	鹛	⿰眉鸟
U+9E5C	鹜	⿱敄鸟
U+9E5D	鹝	⿰鬲鸟
U+9E5E	鹞	⿰䍃鸟
U+9E5F	鹟	⿰翁鸟
U+9E60	鹠	⿰留鸟
U+9E61	鹡	⿰脊鸟
U+9E62	鹢	⿰益鸟
U+9E63	鹣	⿰兼鸟
U+9E65	鹥	⿱殹鸟
U+9E66	鹦	⿰婴鸟
U+9E67	鹧	⿰庶鸟
U+9E68	鹨	⿰翏鸟
U+9E69	鹩	⿰尞鸟
U+9E6B	鹫	⿱就鸟
U+9E6C	鹬	⿰矞鸟
U+9E6D	鹭	⿱路鸟
U+9E6E	鹮	⿰睘鸟
U+9E6F	鹯	⿰亶鸟
U+9E72	鹲	⿰蒙鸟
U+9E73	鹳	⿰雚鸟
U+9E74	鹴	⿰霜鸟
U+9FFA	鿺	⿰麦鸟
U+3B64	㭤	⿰木鸟
U+3D89	㶉	⿰溪鸟
U+4D13	䴓	⿰帀鸟
U+4D14	䴔	⿰交鸟
U+4D15	䴕	⿱列鸟
U+4D16	䴖	⿰靑鸟
U+4D17	䴗	⿰狊鸟
U+4D18	䴘	⿰虒鸟
U+4D19	䴙	⿰辟鸟
U+2A242	𪉂	⿰云鸟
U+2A243	𪉃	⿰文鸟
U+2A244	𪉄	⿰斥鸟
U+2A245	𪉅	⿰式鸟
U+2A246	𪉆	⿰旨鸟
U+2A248	𪉈	⿱此鸟
U+2A249	𪉉	⿰庄鸟
U+2A24B	𪉋	⿱舛鸟
U+2A24C	𪉌	⿰求鸟
U+2A24D	𪉍	⿰禿鸟
U+2A24E	𪉎	⿰昏鸟
U+2A24F	𪉏	⿰某鸟
U+2A250	𪉐	⿰禺鸟
U+2A251	𪉑	⿱敖鸟
U+2A252	𪉒	⿰班鸟
U+2A254	𪉔	⿰𣬉鸟
U+2B061	𫁡	⿰立鸟
U+2B6DA	𫛚	⿰幵鸟
U+2B6DB	𫛛	⿰支鸟
U+2B6DC	𫛜	⿰不鸟
U+2B6DD	𫛝	⿰丹鸟
U+2B6E0	𫛠	⿱札鸟
U+2B6E1	𫛡	⿰乏鸟
U+2B6E4	𫛤	⿱加鸟
U+2B6E6	𫛦	⿰夸鸟
U+2B6E7	𫛧	⿰尗鸟
U+2B6E8	𫛨	⿰并鸟
U+2B6E9	𫛩	⿰安鸟
U+2B6EA	𫛪	⿱如鸟
U+2B6EC	𫛬	⿰余鸟
U+2B6ED	𫛭	⿱狂鸟
U+2B6EE	𫛮	⿰㡀鸟
U+2B6F0	𫛰	⿰其鸟
U+2B6F1	𫛱	⿰卓鸟
U+2B6F3	𫛳	⿰服鸟
U+2B6F5	𫛵	⿰屈鸟
U+2B6F6	𫛶	⿰勅鸟
U+2B6F7	𫛷	⿱胡鸟
U+2B6F9	𫛹	⿱眇鸟
U+2B6FB	𫛻	⿰度鸟
U+2B6FC	𫛼	⿰癸鸟
U+2B6FD	𫛽	⿰栗鸟
U+2B700	𫜀	⿰晨鸟
U+2B701	𫜁	⿱敝鸟
U+2B702	𫜂	⿰章鸟
U+2B703	𫜃	⿰覃鸟
U+2B704	𫜄	⿰尊鸟
U+2B816	𫠖	⿰厷鸟
U+2C61E	𬘞	⿰纟鸟
U+2C84D	𬡍	⿰衤鸟
U+2CDD5	𬷕	⿰甫鸟
U+2CDFC	𬷼	⿰儿鸟
U+2CDFE	𬷾	⿰工鸟
U+2CE00	𬸀	⿱文鸟
U+2CE01	𬸁	⿰瓦鸟
U+2CE02	𬸂	⿰可鸟
U+2CE06	𬸆	⿰生鸟
U+2CE08	𬸈	⿰至鸟
U+2CE09	𬸉	⿱巩鸟
U+2CE0A	𬸊	⿱任鸟
U+2CE0B	𬸋	⿱牝鸟
U+2CE0E	𬸎	⿱利鸟
U+2CE0F	𬸏	⿰良鸟
U+2CE10	𬸐	⿰床鸟
U+2CE14	𬸔	⿱松鸟
U+2CE15	𬸕	⿱⿰贝贝鸟
U+2CE16	𬸖	⿰炎鸟
U+2CE17	𬸗	⿰隶鸟
U+2CE18	𬸘	⿰匽鸟
U+2CE19	𬸙	⿰眇鸟
U+2CE1A	𬸚	⿱狱鸟
U+2CE1B	𬸛	⿰皇鸟
U+2CE1C	𬸜	⿰扁鸟
U+2CE1D	𬸝	⿰音鸟
U+2CE1E	𬸞	⿰娄鸟
U+2CE1F	𬸟	⿰屋鸟
U+2CE20	𬸠	⿰哥鸟
U+2CE22	𬸢	⿰皋鸟
U+2CE23	𬸣	⿱𡨄鸟
U+2CE24	𬸤	⿰票鸟
U+2CE25	𬸥	⿰舂鸟
U+2CE26	𬸦	⿱族鸟
U+2CE28	𬸨	⿰欺鸟
U+2CE29	𬸩	⿰奧鸟
U+2CE2A	𬸪	⿰番鸟
U+2CE2B	𬸫	⿱敦鸟
U+2CE2D	𬸭	⿰葛鸟
U+2CE2E	𬸮	⿰葵鸟
U+2CE2F	𬸯	⿱辟鸟
U+2CE31	𬸱	⿰瞿鸟
U+2EB61	𮭡	⿰介鸟
U+2EB62	𮭢	⿰夭鸟
U+2EB63	𮭣	⿰六鸟
U+2EB65	𮭥	⿰共鸟
U+2EB66	𮭦	⿰岑鸟
U+2EB68	𮭨	⿰晏鸟
U+2EB6A	𮭪	⿰爽鸟
U+31248	𱉈	⿰刀鸟
U+31249	𱉉	⿰了鸟
U+3124A	𱉊	⿰干鸟
U+3124D	𱉍	⿰王鸟
U+3124E	𱉎	⿰夫鸟
U+31250	𱉐	⿰贝鸟
U+31251	𱉑	⿰分鸟
U+31253	𱉓	⿱戶鸟
U+31254	𱉔	⿰夬鸟
U+31256	𱉖	⿰丕鸟
U+31257	𱉗	⿰旦鸟
U+31258	𱉘	⿰且鸟
U+3125A	𱉚	⿰失鸟
U+3125B	𱉛	⿰矢鸟
U+3125C	𱉜	⿰付鸟
U+3125D	𱉝	⿰皀鸟
U+3125E	𱉞	⿰母鸟
U+31260	𱉠	⿰𢀖鸟
U+31261	𱉡	⿰弁鸟
U+31262	𱉢	⿰幼鸟
U+31264	𱉤	⿰圭鸟
U+31265	𱉥	⿰吉鸟
U+31266	𱉦	⿰老鸟
U+3126A	𱉪	⿰艾鸟
U+3126B	𱉫	⿰朱鸟
U+3126D	𱉭	⿰危鸟
U+3126E	𱉮	⿰各鸟
U+3126F	𱉯	⿰羊鸟
U+31270	𱉰	⿱兴鸟
U+31272	𱉲	⿰牟鸟
U+31276	𱉶	⿰旱鸟
U+31277	𱉷	⿰役鸟
U+31279	𱉹	⿰希鸟
U+3127B	𱉻	⿰妥鸟
U+3127C	𱉼	⿰卽鸟
U+3127D	𱉽	⿰忌鸟
U+3127E	𱉾	⿰夋鸟
U+31280	𱊀	⿰坴鸟
U+31281	𱊁	⿰奇鸟
U+31282	𱊂	⿰明鸟
U+31283	𱊃	⿱𥝢鸟
U+31286	𱊆	⿰兔鸟
U+31287	𱊇	⿰匊鸟
U+31288	𱊈	⿰兒鸟
U+3128A	𱊊	⿰空鸟
U+3128B	𱊋	⿰肩鸟
U+3128C	𱊌	⿰居鸟
U+3128D	𱊍	⿰叕鸟
U+3128E	𱊎	⿰甾鸟
U+3128F	𱊏	⿰畐鸟
U+31290	𱊐	⿰皆鸟
U+31291	𱊑	⿰盾鸟
U+31292	𱊒	⿰爰鸟
U+31294	𱊔	⿰复鸟
U+31295	𱊕	⿰帝鸟
U+31296	𱊖	⿰突鸟
U+31297	𱊗	⿰柔鸟
U+31298	𱊘	⿰彖鸟
U+31299	𱊙	⿱振鸟
U+3129A	𱊚	⿰眞鸟
U+3129B	𱊛	⿰隼鸟
U+3129D	𱊝	⿰唐鸟
U+3129E	𱊞	⿰涑鸟
U+3129F	𱊟	⿰害鸟
U+312A0	𱊠	⿰荼鸟
U+312A1	𱊡	⿱唯鸟
U+312A2	𱊢	⿰笠鸟
U+312A3	𱊣	⿰酓鸟
U+312A4	𱊤	⿰庸鸟
U+312A5	𱊥	⿰商鸟
U+312A6	𱊦	⿰壹鸟
U+312A9	𱊩	⿰屠鸟
U+312AA	𱊪	⿰零鸟
U+312AB	𱊫	⿰虞鸟
U+312AC	𱊬	⿰蜀鸟
U+312AD	𱊭	⿱與鸟
U+312AE	𱊮	⿵𦝠鸟
U+312AF	𱊯	⿱敫鸟
U+312B0	𱊰	⿰意鸟
U+312B1	𱊱	⿰翟鸟
U+312B2	𱊲	⿰暴鸟
U+312B3	𱊳	⿰畾鸟
U+312B4	𱊴	⿱燕鸟
U+312B5	𱊵	⿰龠鸟

# 島
U+5CF6	島	⿹{hkcs-9ce5-c01}山

# Simplifications
U+5C9B	岛	岛
U+6363	捣	⿰扌岛

# hkcs_m5cf6
U+6417	搗	⿰扌島
U+69DD	槝	⿰木島
U+FA29	﨩	⿰阝島
U+260ED	𦃭	⿰糸島
U+2BB96	𫮖	⿰土島
