# 鳥
U+9CE5	鳥	⿹{hkcs-9ce5-c01}灬
U+9CF5	鳵	⿰卂鳥
U+9CF7	鳷	⿰支鳥
U+9CF9	鳹	⿰今鳥
U+9CFD	鳽	⿰幵鳥
U+9CFE	鳾	⿰帀鳥
U+9D01	鴁	⿰夭鳥
U+9D02	鴂	⿰夬鳥
U+9D04	鴄	⿰匹鳥
U+9D05	鴅	⿰丹鳥
U+9D06	鴆	⿰冘鳥
U+9D09	鴉	⿰牙鳥
U+9D0A	鴊	⿰正鳥
U+9D13	鴓	⿰必鳥
U+9D14	鴔	⿰乏鳥
U+9D16	鴖	⿰民鳥
U+9D19	鴙	⿰矢鳥
U+9D1D	鴝	⿰句鳥
U+9D1E	鴞	⿰号鳥
U+9D1F	鴟	⿰氐鳥
U+9D21	鴡	⿰且鳥
U+9D22	鴢	⿰幼鳥
U+9D29	鴩	⿰失鳥
U+9D2A	鴪	⿰穴鳥
U+9D2D	鴭	⿰𠂤鳥
U+9D2E	鴮	⿰夸鳥
U+9D2F	鴯	⿰而鳥
U+9D30	鴰	⿰{hkcs-20bd1-v01}鳥
U+9D31	鴱	⿰艾鳥
U+9D32	鴲	⿰旨鳥
U+9D34	鴴	⿰行鳥
U+9D35	鴵	⿰兆鳥
U+9D36	鴶	⿰吉鳥
U+9D38	鴸	⿰朱鳥
U+9D39	鴹	⿰羊鳥
U+9D3E	鴾	⿰牟鳥
U+9D3F	鴿	⿰合鳥
U+9D42	鵂	⿰休鳥
U+9D43	鵃	⿰舟鳥
U+9D45	鵅	⿰各鳥
U+9D47	鵇	⿰年鳥
U+9D48	鵈	⿰耳鳥
U+9D4A	鵊	⿰夾鳥
U+9D4B	鵋	⿰忌鳥
U+9D4D	鵍	⿰完鳥
U+9D4E	鵎	⿰妥鳥
U+9D4F	鵏	⿰甫鳥
U+9D51	鵑	⿰肙鳥
U+9D52	鵒	⿰谷鳥
U+9D57	鵗	⿰希鳥
U+9D58	鵘	⿰君鳥
U+9D59	鵙	⿰貝鳥
U+9D5A	鵚	⿰禿鳥
U+9D5B	鵛	⿰巠鳥
U+9D5D	鵝	⿰我鳥
U+9D60	鵠	⿰吿鳥
U+9D61	鵡	⿰武鳥
U+9D62	鵢	⿰身鳥
U+9D63	鵣	⿰束鳥
U+9D64	鵤	⿰角鳥
U+9D67	鵧	⿰并鳥
U+9D68	鵨	⿰舍鳥
U+9D69	鵩	⿰服鳥
U+9D6A	鵪	⿰奄鳥
U+9D6C	鵬	⿰朋鳥
U+9D6E	鵮	⿰臽鳥
U+9D6F	鵯	⿰卑鳥
U+9D70	鵰	⿰周鳥
U+9D72	鵲	⿰昔鳥
U+9D73	鵳	⿰肩鳥
U+9D74	鵴	⿰匊鳥
U+9D75	鵵	⿰兔鳥
U+9D77	鵷	⿰宛鳥
U+9D78	鵸	⿰奇鳥
U+9D7A	鵺	⿰夜鳥
U+9D7D	鵽	⿰叕鳥
U+9D7E	鵾	⿰昆鳥
U+9D82	鶂	⿰兒鳥
U+9D84	鶄	⿰靑鳥
U+9D85	鶅	⿰甾鳥
U+9D88	鶈	⿰妻鳥
U+9D8A	鶊	⿰庚鳥
U+9D8B	鶋	⿰居鳥
U+9D8C	鶌	⿰屈鳥
U+9D8D	鶍	⿰易鳥
U+9D8E	鶎	⿰宗鳥
U+9D90	鶐	⿰述鳥
U+9D92	鶒	⿰勅鳥
U+9D93	鶓	⿰苗鳥
U+9D94	鶔	⿰柔鳥
