# 悶
U+60B6	悶	⿵門心

# hkcs_m60b6
U+8544	蕄	⿱艹悶
U+424D	䉍	⿱竹悶

# hkcs_m60b6-p02-s00
U+71DC	燜	⿰火悶
U+3996	㦖	⿰忄悶
U+3D4D	㵍	⿰氵悶
U+20392	𠎒	⿰亻悶
U+21BAC	𡮬	⿰小悶
U+24EAF	𤺯	⿸疒悶
U+2ABB0	𪮰	⿰扌悶
U+2B0D0	𫃐	⿰米悶
U+2C6D7	𬛗	⿰⺼悶
U+2D2B3	𭊳	⿰口悶

# Simplifications
U+95F7	闷	⿵门心
U+7116	焖	⿰火闷
U+2B8A8	𫢨	⿰亻闷
U+2BF3D	𫼽	⿰扌闷
U+2C59F	𬖟	⿰米闷
U+30C49	𰱉	⿱艹闷
