# 休
U+4F11	休	⿰亻木

# hkcs_m4f11
U+54BB	咻	⿰口休
U+5EA5	庥	⿸广休
U+6058	恘	⿰忄休
U+70CC	烌	⿰火休
U+8320	茠	⿱艹休
U+8C85	貅	⿰豸休
U+929D	銝	⿰金休
U+9AF9	髹	⿱髟休
U+9BB4	鮴	⿰魚休
U+3CDC	㳜	⿰氵休
U+3E6F	㹯	⿰犭休
U+3F8B	㾋	⿸疒休
U+43EB	䏫	⿰⺼休
U+46D9	䛙	⿰言休
U+4B8C	䮌	⿰馬休
U+2006B	𠁫	⿰丩休
U+290AF	𩂯	⿱雨休

# hkcs_m4f11-p01-s00
U+9D42	鵂	⿰休鳥
U+298AE	𩢮	⿰休馬

# hkcs_m4f11-p03-s00
U+6077	恷	⿱休心
U+70CB	烋	⿱休灬
U+24222	𤈢	⿱休火
U+2A02A	𪀪	⿱休鳥

# Simplifications
U+9E3A	鸺	⿰休鸟
