# 難
U+96E3	難	⿰𦰩隹

# hkcs_m96e3
U+6201	戁	⿱難心
U+81E1	臡	⿱難肉
U+3B2E	㬮	⿱日難
U+3E10	㸐	⿱難灬
U+457C	䕼	⿱艹難
U+21FCA	𡿊	⿱難山
U+22E8B	𢺋	⿱難手

# hkcs_m3e10
U+4584	䖄	⿱艹㸐

# hkcs_m96e3-p02-s00
U+6524	攤	⿰扌難
U+7058	灘	⿰氵難
U+7671	癱	⿸疒難
U+3C19	㰙	⿰木難
U+21167	𡅧	⿰口難
U+21503	𡔃	⿰土難
U+2296A	𢥪	⿰忄難
U+23316	𣌖	⿰日難
U+244CC	𤓌	⿰火難
U+268CE	𦣎	⿰⺼難

# Simplifications (难)
U+96BE	难	⿰又隹
U+2BEB7	𫺷	⿱难心
U+2C2BE	𬊾	⿱难灬
U+2C774	𬝴	⿱艹难
U+644A	摊	⿰扌难
U+6EE9	滩	⿰氵难
U+762B	瘫	⿸疒难
U+235D9	𣗙	⿰木难
U+2D27C	𭉼	⿰口难
U+2AE60	𪹠	⿰火难
U+267D7	𦟗	⿰⺼难
