# 囷
U+56F7	囷	⿴囗禾

# hkcs_m56f7
U+7B98	箘	⿱竹囷
U+9E95	麕	⿸鹿囷

# hkcs_m56f7-p02-s00
U+68DE	棞	⿰木囷
U+7885	碅	⿰石囷
U+7A1B	稛	⿰禾囷
U+8720	蜠	⿰虫囷
U+35A5	㖥	⿰口囷
U+3ED2	㻒	⿰王囷
U+4403	䐃	⿰⺼囷
U+4805	䠅	⿰𧾷囷
U+21E19	𡸙	⿰山囷
U+251D8	𥇘	⿰目囷
U+264FE	𦓾	⿰耒囷
U+276C3	𧛃	⿰衤囷
U+27F10	𧼐	⿺走囷
U+2A629	𪘩	⿰齒囷

# hkcs_m56f7-p04-s00
U+83CC	菌	⿱艹囷

# Simplifications
U+2CE8A	𬺊	⿰齿囷
