# Confusables: 巿 (U+5DFF), 分勿切 (幫/物/入) 
# Confusables: 𣎵 (U+233B5)
# Confusables: 𣎳 (U+233B3), 匹刃切 (滂/眞A/去)
# Confusables: 𠂔 (U+20094), 阻史切 (莊/之/上)

# 巿
U+5DFF	巿	巿 # 分勿切

# hkcs_m5dff
U+206B7	𠚷	⿰巿刂 # = 𠛔
U+220B7	𢂷	⿰巿合
U+22EB7	𢺷	⿰巿支
U+2B718	𫜘	⿰巿黃

U+82BE	芾	⿱艹巿 # 方味切 / 博蓋切 / 分勿切

U+2208F	𢂏	⿰巿巿 # 博蓋切
U+22EF5	𢻵	⿰巿攴 # 博蓋切
U+22F06	𢼆	⿰巿攵 # 博蓋切
U+23B2A	𣬪	⿰巿毛 # 博蓋切
U+26961	𦥡	⿱臼巿 # 方廢切 / 房越切
U+220A4	𢂤	⿰巿犮 # 博蓋切

# hkcs_m5dff-p02-s00
U+25FA7	𥾧	⿰糸巿 # 分勿切
