# 比
U+6BD4	比	⿰匕匕
U+23B12	𣬒	⿱㲋吏
U+23B1A	𣬚	⿱㲋⿰兔兔
U+247ED	𤟭	⿱㲋犬

# hkcs_m6bda
U+5296	劖	⿰毚刂
U+9141	酁	⿰毚阝
U+268F8	𦣸	⿰毚監
U+29C03	𩰃	⿱髟毚
U+2A5C2	𪗂	⿰鼻毚

# hkcs_m6bda-p02-s00
U+5133	儳	⿰亻毚
U+56B5	嚵	⿰口毚
U+5DC9	巉	⿰山毚
U+6519	攙	⿰扌毚
U+6B03	欃	⿰木毚
U+703A	瀺	⿰氵毚
U+7E94	纔	⿰糸毚
U+826C	艬	⿰舟毚
U+8B92	讒	⿰言毚
U+9471	鑱	⿰金毚
U+995E	饞	⿰飠毚
U+3736	㜶	⿰女毚
U+3E25	㸥	⿰片毚
U+3EA5	㺥	⿰犭毚
U+4081	䂁	⿰目毚
U+49EF	䧯	⿰阝毚
U+4A8C	䪌	⿰革毚
U+214E6	𡓦	⿰土毚
U+2259E	𢖞	⿰彳毚
U+2294B	𢥋	⿰忄毚
U+244B0	𤒰	⿰火毚
U+24707	𤜇	⿰牛毚
U+269FB	𦧻	⿰舌毚
U+27543	𧕃	⿰虫毚
U+27953	𧥓	⿰角毚
U+281E9	𨇩	⿰𧾷毚
U+28CC2	𨳂	⿰镸毚
U+29F5D	𩽝	⿰魚毚
U+2A4C4	𪓄	⿰黑毚

# hkcs_m8b92
U+21FE3	𡿣	⿱山讒

# hkcs_m23535
U+236F3	𣛳	⿱艹𣔵

# hkcs_m9e7f
U+5ED8	廘	⿸广鹿
U+7C0F	簏	⿱竹鹿
U+850D	蔍	⿱艹鹿
U+9E81	麁	⿱𠂊鹿
U+9E84	麄	⿱分鹿
U+9E89	麉	⿱幵鹿
U+9E8A	麊	⿱米鹿
U+4361	䍡	⿱⺲鹿
U+2A2CD	𪋍	⿰甾鹿
U+2A6D3	𪛓	⿰龠鹿
U+2B70F	𫜏	⿰粦鹿
U+2CE3C	𬸼	⿱尼鹿

# hkcs_m9e7f-p01-s00
U+9E92	麒	⿰鹿其
U+9E9F	麟	⿰鹿粦
U+9EA3	麣	⿰鹿嚴
U+22FC7	𢿇	⿰鹿攴
U+25014	𥀔	⿰鹿皮
U+29534	𩔴	⿰鹿頁
U+2A28B	𪊋	⿰鹿几
U+2A294	𪊔	⿰鹿亓
U+2A296	𪊖	⿰鹿勿
U+2A299	𪊙	⿰鹿文
U+2A29F	𪊟	⿰鹿生
U+2A2B6	𪊶	⿰鹿廷
U+2A2B8	𪊸	⿰鹿余
U+2A2CB	𪋋	⿰鹿并
U+2A2D6	𪋖	⿰鹿風
U+2A2DE	𪋞	⿰鹿鳥
U+2A2E1	𪋡	⿰鹿菐
U+2A2F4	𪋴	⿰鹿鳳

# hkcs_m9e7f-p01-s01
U+911C	鄜	⿰鹿阝
