# 某
U+67D0	某	⿱甘木

# hkcs_m67d0-p01-s00
U+2077A	𠝺	⿰某刂

# hkcs_m67d0-p01-s01
U+2A0CF	𪃏	⿰某鳥

# hkcs_m67d0-p02-s00
U+5A92	媒	⿰女某
U+6973	楳	⿰木某
U+6E48	湈	⿰氵某
U+7164	煤	⿰火某
U+7996	禖	⿰示某
U+815C	腜	⿰⺼某
U+8B00	謀	⿰言某
U+35BC	㖼	⿰口某
U+45CB	䗋	⿰虫某
U+4902	䤂	⿰酉某
U+220F1	𢃱	⿰巾某

# hkcs_m67d0-p02-s01
U+202E6	𠋦	⿰亻某

# hkcs_m5a92
U+20FC3	𠿃	⿰口媒

# Simplifications
U+2A24F	𪉏	⿰某鸟
U+8C0B	谋	⿰讠某
