# 㬎
U+3B0E	㬎	⿳日𢆶灬

# hkcs_m3b0e
U+26FCC	𦿌	⿱艹㬎

# hkcs_m3b0e-p01-s00
U+6B5E	歞	⿰㬎欠
U+986F	顯	⿰㬎頁

# hkcs_m3b0e-p01-s01
U+20801	𠠁	⿰㬎刂

# hkcs_m3b0e-p02-s00
U+5111	儑	⿰亻㬎
U+6FD5	濕	⿰氵㬎
U+7918	礘	⿰石㬎
U+96B0	隰	⿰阝㬎
U+97C5	韅	⿰革㬎
U+3677	㙷	⿰土㬎
U+3B24	㬤	⿰日㬎
U+43C9	䏉	⿰耳㬎
U+45FE	䗾	⿰虫㬎
U+4719	䜙	⿰言㬎
U+4743	䝃	⿰豆㬎
U+496A	䥪	⿰金㬎
U+4BE5	䯥	⿰骨㬎
U+25301	𥌁	⿰目㬎
U+26879	𦡹	⿰⺼㬎
U+281B0	𨆰	⿰𧾷㬎
U+293F0	𩏰	⿰韋㬎
U+3063D	𰘽	⿰木㬎

# hkcs_m986f
U+7066	灦	⿰氵顯

# Simplifications
U+663E	显	⿱日业
U+6E7F	湿	⿰氵显
U+9855	顕	⿰显頁
