# 盡
U+76E1	盡	⿱𭴘皿

# hkcs_m76e1
U+85CE	藎	⿱艹盡

# hkcs_m76e1-p01-s00
U+250DE	𥃞	⿰盡曷
U+2A7D6	𪟖	⿰盡刂

# hkcs_m76e1-p02-s00
U+5118	儘	⿰亻盡
U+568D	嚍	⿰口盡
U+58D7	壗	⿰土盡
U+5B27	嬧	⿰女盡
U+5B7B	孻	⿰子盡
U+6FDC	濜	⿰氵盡
U+71FC	燼	⿰火盡
U+74B6	璶	⿰王盡
U+8D10	贐	⿰貝盡
U+3BF8	㯸	⿰木盡
U+228FA	𢣺	⿰忄盡
U+2C828	𬠨	⿰虫盡

U+24138	𤄸	⿰氵⿱盡火

# Simplifications (尽)
U+5C3D	尽	⿱尺⺀
U+8369	荩	⿱艹尽
U+4FAD	侭	⿰亻尽
U+21967	𡥧	⿰子尽
U+6D55	浕	⿰氵尽
U+70EC	烬	⿰火尽
U+8D46	赆	⿰贝尽
U+4772	䝲	⿰貝尽
