# 算
U+7B97	算	⿳竹目廾

# hkcs_m7b97
U+5334	匴	⿷匚算
U+23AD1	𣫑	⿰算殳

# hkcs_m7b97-p01-s00
U+350D	㔍	⿰算刂
U+230CD	𣃍	⿰算斤

# hkcs_m7b97-p03-s00
U+7BE1	篡	⿱算厶
U+7E82	纂	⿱算糸
U+4D75	䵵	⿱算黑
U+283C9	𨏉	⿱算車

# hkcs_m7b97-p03-s01
U+7BF9	篹	⿱算㔾

# hkcs_m7b97-p03-s02
U+4275	䉵	⿱算食

# hkcs_m350d
U+4977	䥷	⿰金㔍

# hkcs_m230cd
U+28C09	𨰉	⿰金𣃍

# hkcs_m7e82-p02-s00
U+6525	攥	⿰扌纂
U+23839	𣠹	⿰木纂
U+28C2D	𨰭	⿰金纂

# hkcs_m7bf9-p03-s00
U+25D8A	𥶊	⿱篹皿

# Simplifications
U+30FC7	𰿇	䥷
U+2CB83	𬮃	𨰭
