# 竟
U+7ADF	竟	⿳䇂曰儿	⿳立曰儿

# hkcs_m7adf
U+4514	䔔	⿱艹竟

# hkcs_m7adf-p01-s00
U+7AF8	竸	⿰竟竟

# hkcs_m7adf-p02-s00
U+50B9	傹	⿰亻竟
U+5883	境	⿰土竟
U+646C	摬	⿰扌竟
U+6A08	樈	⿰木竟
U+6EF0	滰	⿰氵竟
U+734D	獍	⿰犭竟
U+7484	璄	⿰王竟
U+7AF8	竸	⿰竟竟
U+7CE1	糡	⿰米竟
U+93E1	鏡	⿰金竟
U+4B57	䭗	⿰飠竟
U+27AD9	𧫙	⿰言竟
U+2B9F6	𫧶	⿰卡竟
U+2BCAD	𫲭	⿰子竟
U+2C827	𬠧	⿰虫竟

# hkcs_m93e1
U+30F54	𰽔	鏡鏡鏡鏡

# Simplifications
U+955C	镜	⿰钅竟
