# 靡
U+9761	靡	⿸麻非

# hkcs_m9761
U+863C	蘼	⿱艹靡

# hkcs_m9761-p01-s00
U+5298	劘	⿰靡刂

# hkcs_m9761-p02-s00
U+5B4A	孊	⿰女靡
U+6202	戂	⿰忄靡
U+6520	攠	⿰扌靡
U+7056	灖	⿰氵靡
U+91C4	釄	⿰酉靡
U+3827	㠧	⿰山靡
U+40FA	䃺	⿰石靡
U+42B3	䊳	⿰米靡
U+4B69	䭩	⿰飠靡
U+225A5	𢖥	⿰彳靡
U+23842	𣡂	⿰木靡
U+244D2	𤓒	⿰火靡
U+261FA	𦇺	⿰糸靡
U+2652D	𦔭	⿰耒靡
U+268C6	𦣆	⿰⺼靡
U+281FB	𨇻	⿰𧾷靡
U+28C1E	𨰞	⿰金靡
U+2925A	𩉚	⿰面靡

# hkcs_m9761-p05-s00
U+3E0F	㸏	⿸靡火

# hkcs_m9761-p05-s01
U+7222	爢	⿸靡灬
