# 段
U+6BB5	段	⿰{hkcs-6bb5-c01}殳

# hkcs_m6bb5
U+846E	葮	⿱艹段

# hkcs_m6bb5-p02-s00
U+5845	塅	⿰土段
U+6934	椴	⿰木段
U+6BC8	毈	⿰卵段
U+7145	煅	⿰火段
U+7456	瑖	⿰王段
U+78AB	碫	⿰石段
U+7DDE	緞	⿰糸段
U+8176	腶	⿰⺼段
U+935B	鍛	⿰金段
U+3C6D	㱭	⿰歹段
U+22BEB	𢯫	⿰扌段
U+23E42	𣹂	⿰氵段
U+28EA3	𨺣	⿰阝段
U+292E6	𩋦	⿰革段
U+29923	𩤣	⿰馬段

# hkcs_m6bb5-p02-s01
U+25228	𥈨	⿰目段
U+2739A	𧎚	⿰虫段
U+293C7	𩏇	⿰韋段
U+29E68	𩹨	⿰魚段

# Simplifications
U+7F0E	缎	⿰纟段
U+953B	锻	⿰钅段
