# 閑
U+9591	閑	⿵門木

# hkcs_m9591
U+9DF4	鷴	⿰閑鳥
U+4535	䔵	⿱艹閑
U+2EAD0	𮫐	⿱髟閑

# hkcs_m9591-p02-s00
U+5AFB	嫻	⿰女閑
U+6F96	澖	⿰氵閑
U+3BD7	㯗	⿰木閑
U+495C	䥜	⿰金閑
U+2287F	𢡿	⿰忄閑
U+24866	𤡦	⿰犭閑
U+24E9B	𤺛	⿸疒閑
U+252BA	𥊺	⿰目閑
U+2682F	𦠯	⿰⺼閑
U+2817D	𨅽	⿰𧾷閑
U+28D93	𨶓	⿰杀閑
U+28F1D	𨼝	⿰阝閑
U+29983	𩦃	⿰馬閑
U+2CD6C	𬵬	⿰魚閑
U+2D9F4	𭧴	⿰日閑
U+302A8	𰊨	⿰土閑

# hkcs_m4535
U+21904	𡤄	⿰女䔵

# Simplifications
U+95F2	闲	⿵门木
U+5A34	娴	⿰女闲
U+75EB	痫	⿸疒闲
U+9E47	鹇	⿰闲鸟
U+31158	𱅘	⿰马闲
