# 齒
U+9F52	齒	⿱止𠚕
U+2EBBE	𮮾	⿰歯𠤎
U+2A5F1	𪗱	⿰歯且
U+2EBC3	𮯃	⿰歯召
U+9F62	齢	⿰歯令
U+2B81A	𫠚	⿰歯句
U+2EBC5	𮯅	⿰歯艮
U+2A61A	𪘚	⿰歯吾
U+2EBCC	𮯌	⿰歯禹
U+2EBCB	𮯋	⿰歯咢
U+2EBCE	𮯎	⿰歯屋
U+2EBC7	𮯇	⿰歯足

# Simplifications (齿)
U+9F7F	齿	齿
U+556E	啮	⿰口齿
U+2CB54	𬭔	⿰钅齿

U+2CE8E	𬺎	⿱差齿
U+2B730	𫜰	⿱獻齿

U+9F80	龀	⿰齿𠤎
U+9F82	龂	⿰齿斤
U+9F83	龃	⿰齿且
U+9F84	龄	⿰齿令
U+9F85	龅	⿰齿包
U+9F86	龆	⿰齿召
U+9F87	龇	⿰齿此
U+9F88	龈	⿰齿艮
U+9F89	龉	⿰齿吾
U+9F8A	龊	⿰齿足
U+9F8B	龋	⿰齿禹
U+9F8C	龌	⿰齿屋

U+2A68F	𪚏	⿰齿并
U+2B728	𫜨	⿰齿巴
U+2B72A	𫜪	⿰齿交
U+2B72B	𫜫	⿰齿甫
U+2B72C	𫜬	⿰齿昔
U+2B72D	𫜭	⿰齿所
U+2B72E	𫜮	⿰齿彥
U+2B72F	𫜯	⿰齿害
U+2B81C	𫠜	⿰齿兒
U+2CE7A	𬹺	⿰齿牙
U+2CE7B	𬹻	⿰齿內
U+2CE7C	𬹼	⿰齿介
U+2CE7D	𬹽	⿰齿亢
U+2CE7E	𬹾	⿰齿甘
U+2CE7F	𬹿	⿰齿司
U+2CE80	𬺀	⿱奴齿
U+2CE81	𬺁	⿰齿至
U+2CE82	𬺂	⿰齿页
U+2CE84	𬺄	⿰齿{hkcs-20bd1-v01}
U+2CE86	𬺆	⿰齿肖
U+2CE87	𬺇	⿱佐齿
U+2CE88	𬺈	⿰齿奇
U+2CE8A	𬺊	⿰齿囷
U+2CE8B	𬺋	⿰齿卒
U+2CE8C	𬺌	⿰齿宜
U+2CE8D	𬺍	⿰齿咸
U+2CE8F	𬺏	⿰齿尃
U+2CE90	𬺐	⿰齿展
U+2CE91	𬺑	⿰齿屑
U+2CE93	𬺓	⿰齿楚
U+2CE94	𬺔	⿰齿禁
U+2CE95	𬺕	⿰齿截
U+2CE96	𬺖	⿰齿爵
