# 古
U+27B15	𧬕	⿰言辜
U+28B1F	𨬟	⿰金辜

# Simplifications
U+8BC2	诂	⿰讠古
U+94B4	钴	⿰钅古
U+9E2A	鸪	⿰古鸟
U+2B5E1	𫗡	⿰饣古

U+9E55	鹕	⿰胡鸟
U+2B5EB	𫗫	⿰饣胡
U+2B6F7	𫛷	⿱胡鸟
U+2CD9E	𬶞	⿰鱼胡

U+8F71	轱	⿰车古
U+2C55B	𬕛	⿱竹轱

# 固
U+56FA	固	⿴囗古

# hkcs_m56fa
U+5D2E	崮	⿱山固
U+75FC	痼	⿸疒固
U+7B87	箇	⿱竹固
U+435B	䍛	⿱⺲固
U+44E2	䓢	⿱艹固

# hkcs_m56fa-p02-s00
U+500B	個	⿰亻固
U+51C5	凅	⿰冫固
U+580C	堌	⿰土固
U+5A5F	婟	⿰女固
U+5D13	崓	⿰山固
U+68DD	棝	⿰木固
U+6DB8	涸	⿰氵固
U+797B	祻	⿰示固
U+7A12	稒	⿰禾固
U+932E	錮	⿰金固
U+9BDD	鯝	⿰魚固
U+39FD	㧽	⿰扌固
U+4B45	䭅	⿰飠固
U+20D31	𠴱	⿰口固
U+226C5	𢛅	⿰忄固
U+27DAE	𧶮	⿰貝固
U+2C5A2	𬖢	⿰米固
U+2CC26	𬰦	⿰革固

# hkcs_m500b
U+55F0	嗰	⿰口個

# hkcs_m7b87
U+28BB1	𨮱	⿰金箇

# Simplifications
U+9522	锢	錮	⿰钅固
U+9CB4	鲴	鯝	⿰鱼固
U+2CCBE	𬲾	䭅	⿰饣固
