# 蔑
U+8511	蔑	⿱𦭝{hkcs-4f10-v01}

# hkcs_m8511
U+2A1F4	𪇴	⿰蔑鳥

# hkcs_m8511-p02-s00
U+5E6D	幭	⿰巾蔑
U+6AD7	櫗	⿰木蔑
U+700E	瀎	⿰氵蔑
U+7923	礣	⿰石蔑
U+881B	蠛	⿰虫蔑
U+884A	衊	⿰血蔑
U+896A	襪	⿰衤蔑
U+9456	鑖	⿰金蔑
U+97C8	韈	⿰革蔑
U+97E4	韤	⿰韋蔑
U+9C74	鱴	⿰魚蔑
U+349D	㒝	⿰亻蔑
U+407E	䁾	⿰目蔑
U+4329	䌩	⿰糸蔑
U+4A4F	䩏	⿰面蔑
U+210D9	𡃙	⿰口蔑
U+24EFB	𤻻	⿸疒蔑
U+2502F	𥀯	⿰皮蔑
U+258EB	𥣫	⿰禾蔑
U+288F1	𨣱	⿰酉蔑
U+2CE5B	𬹛	⿰黑蔑
U+2E346	𮍆	⿰⺼蔑

# hkcs_m8511-p02-s01
U+61F1	懱	⿰忄蔑
U+3A62	㩢	⿰扌蔑
U+4BE6	䯦	⿰骨蔑
U+25F58	𥽘	⿰米蔑

# Simplifications
U+30FC3	𰿃	⿰钅蔑
U+31219	𱈙	⿰鱼蔑
