# 要
U+8981	要	⿱覀女

# hkcs_m8981
U+5626	嘦	⿱只要
U+5AD1	嫑	⿱不要
U+847D	葽	⿱艹要
U+95C4	闄	⿵門要
U+2180D	𡠍	⿱勿要

# hkcs_m8981-p01-s00
U+8985	覅	⿰要勿
U+4CE9	䳩	⿰要鳥
U+25F80	𥾀	⿰⿱米要焦
U+29004	𩀄	⿰要隹

# hkcs_m8981-p02-s00
U+5060	偠	⿰亻要
U+5593	喓	⿰口要
U+5A79	婹	⿰女要
U+5D3E	崾	⿰山要
U+6946	楆	⿰木要
U+8170	腰	⿰⺼要
U+9A15	騕	⿰馬要
U+3658	㙘	⿰土要
U+3ACF	㫏	⿸𭤨要
U+3D17	㴗	⿰氵要
U+404F	䁏	⿰目要
U+4301	䌁	⿰糸要
U+4645	䙅	⿰衤要
U+203D5	𠏕	⿰休要
U+220FD	𢃽	⿰巾要
U+28A81	𨪁	⿰金要
U+2C9BD	𬦽	⿰𧾷要
U+2CC98	𬲘	⿰飠要

# Simplifications
U+3115C	𱅜	⿰马要
U+2C631	𬘱	⿰纟要
U+2CBB2	𬮲	⿵门要
