# 戌
U+6EC5	滅	⿰氵烕
U+34D5	㓕	⿰冫烕
U+217EC	𡟬	⿰女烕
U+26105	𦄅	⿰糸烕
U+28ED2	𨻒	⿰阝烕
U+2CD62	𬵢	⿰魚烕

# Simplifications
U+2B4F0	𫓰	⿰钅戌
U+3114D	𱅍	⿰马戌

U+7F04	缄	⿰纟咸
U+2B36F	𫍯	⿰讠咸
U+2CE8D	𬺍	⿰齿咸
U+30F97	𰾗	⿰钅咸
U+310B1	𱂱	⿰咸页

U+9CE1	鳡	⿰鱼感
U+2B418	𫐘	⿰车感

U+2A255	𪉕	⿰鸟箴
U+2EB24	𮬤	⿰鱼箴

# 岁
U+5C81	岁	⿱山夕
U+523F	刿	⿰岁刂
U+54D5	哕	⿰口岁
U+79FD	秽	⿰禾岁
U+7FD9	翙	⿰岁羽
U+2C8EA	𬣪	⿰讠岁
U+2EB1D	𮬝	⿰鱼岁
U+30F77	𰽷	⿰钅岁
U+310A4	𱂤	⿰岁页

# 亗
U+4E97	亗	⿱山二
