# 氣
U+6C23	氣	⿹气米

# hkcs_m6c23-p02-s00
U+613E	愾	⿰忄氣
U+66A3	暣	⿰日氣
U+6ECA	滊	⿰氵氣
U+7182	熂	⿰火氣
U+7294	犔	⿰牛氣
U+938E	鎎	⿰金氣
U+973C	霼	⿰雲氣
U+975D	靝	⿰靑氣
U+993C	餼	⿰飠氣
U+3476	㑶	⿰亻氣
U+20EAA	𠺪	⿰口氣
U+23C6C	𣱬	⿰希氣
U+25383	𥎃	⿰矛氣
U+273B5	𧎵	⿰虫氣
U+27AA2	𧪢	⿰言氣
U+2A489	𪒉	⿰黑氣
U+2A5B4	𪖴	⿰鼻氣
U+2D87E	𭡾	⿰扌氣

# Simplifications (気)
U+6C17	気	⿹气乂
U+2DC11	𭰑	⿰氵気
U+301DC	𰇜	⿰口気

# Simplifications (气)
U+2AE15	𪸕	⿰火气
U+9754	靔	⿰靑气
U+9969	饩	⿰饣气
