# 桼
U+687C	桼	⿳木人氺

# hkcs_m687c
U+4C0D	䰍	⿱髟桼
U+26E13	𦸓	⿱艹桼

# hkcs_m687c-p01-s00
U+5380	厀	⿰桼卩
U+34FC	㓼	⿰桼刂
U+3BE1	㯡	⿰桼包
U+48DB	䣛	⿰桼阝
U+2382C	𣠬	⿰桼桼
U+2A12D	𪄭	⿰桼鳥

# hkcs_m687c-p02-s00
U+6F06	漆	⿰氵桼
U+819D	膝	⿰⺼桼
U+3BC3	㯃	⿰木桼
U+4709	䜉	⿰言桼
U+2382C	𣠬	⿰桼桼
U+2771D	𧜝	⿰衤桼

# hkcs_m5380-p02-s00
U+236FA	𣛺	⿰木厀

# hkcs_m819d
U+2702C	𧀬	⿱艹膝

# Simplifications
U+2C918	𬤘	⿰讠桼

# Variant (𣷚)
U+23DDA	𣷚	⿳來人氺
U+287A2	𨞢	⿰𣷚阝
U+23FB0	𣾰	⿰氵𣷚
U+26840	𦡀	⿰⺼𣷚
U+23649	𣙉	⿰木𣷚
