# 𡬠
U+21B20	𡬠	⿰皀寸

# hkcs_m21b20-p04-s00
U+6B0E	欎	⿳棥冖𡬠
U+6B1D	欝	⿳棥⺫𡬠
U+7235	爵	⿳爫⺫𡬠

# hkcs_m6b1d
U+3828	㠨	⿰山欝
U+244ED	𤓭	⿰火欝
U+2A4C9	𪓉	⿰黑欝

# hkcs_m7235
U+56BC	嚼	⿰口爵
U+7042	灂	⿰氵爵
U+721D	爝	⿰火爵
U+76AD	皭	⿰白爵
U+7A71	穱	⿰禾爵
U+91C2	釂	⿰酉爵
U+3A71	㩱	⿰扌爵
U+3B2D	㬭	⿰日爵
U+4083	䂃	⿰目爵
U+20623	𠘣	⿰冫爵
U+25DEE	𥷮	⿱竹爵
U+28C1C	𨰜	⿰金爵
U+2A685	𪚅	⿰齒爵
U+2B93C	𫤼	⿱冖爵
U+2D69E	𭚞	⿰弁爵
U+2E25C	𮉜	⿰糸爵

# Simplifications
U+2CE96	𬺖	⿰齿爵

# hkcs_m2b93c
U+2AAB9	𪪹	⿱𫤼廾
