# 褱
U+8931	褱	⿳亠眔𧘇

# hkcs_m8931
U+21FA8	𡾨	⿱山褱

# hkcs_m8931-p02-s00
U+58DE	壞	⿰土褱
U+61F7	懷	⿰忄褱
U+6AF0	櫰	⿰木褱
U+3733	㜳	⿰女褱
U+20426	𠐦	⿰亻褱
U+210E9	𡃩	⿰口褱
U+21F9D	𡾝	⿰山褱
U+277B7	𧞷	⿰衤褱
U+2A289	𪊉	⿰鹵褱
U+2DDA6	𭶦	⿰火褱

# hkcs_m8931-p02-s01
U+7024	瀤	⿰氵褱
U+74CC	瓌	⿰王褱
U+8032	耲	⿰耒褱
U+40F6	䃶	⿰石褱

# hkcs_m58de
U+863E	蘾	⿱艹壞

# hkcs_m61f7
U+8639	蘹	⿱艹懷

# Simplifications
U+312BD	𱊽	⿰卤褱

U+2C738	𬜸	⿱艹怀
