# 那
U+90A3	那	⿰冄阝

# hkcs_m90a3
U+26C21	𦰡	⿱艹那
U+26C22	𦰢	⿱艹那
U+2AF56	𪽖	⿱那田
U+2BB79	𫭹	⿱那土
U+2C80C	𬠌	⿰虫那
U+2DD34	𭴴	⿰火那
U+2DE10	𭸐	⿰犭那
U+2DEE4	𭻤	⿰男那

# hkcs_m90a3-p02-s00
U+54EA	哪	⿰口那
U+5A1C	娜	⿰女那
U+632A	挪	⿰扌那
U+689B	梛	⿰木那
U+345A	㑚	⿰亻那
U+21308	𡌈	⿰土那
U+21DD9	𡷙	⿰山那
U+24976	𤥶	⿰王那
U+26028	𦀨	⿰糸那
U+2804C	𨁌	⿰𧾷那
U+29229	𩈩	⿰面那
