# 篤
U+7BE4	篤	⿱竹馬

# Simplifications
U+7B03	笃	⿱竹马
U+2C20F	𬈏	⿰氵笃
U+2C866	𬡦	⿰衤笃

# hkcs_m7be4
U+2C264	𬉤	⿰氵篤

# hkcs_m7be4-p02-s00
U+214DE	𡓞	⿰土篤
U+24498	𤒘	⿰火篤
U+255D6	𥗖	⿰石篤
U+25F6A	𥽪	⿰米篤
U+28BF9	𨯹	⿰金篤
U+297F5	𩟵	⿰飠篤
U+29838	𩠸	⿰首篤

# hkcs_m7be4-p02-s01
U+2110D	𡄍	⿰口篤
U+21FAC	𡾬	⿰山篤
U+277B6	𧞶	⿰衤篤
U+29F56	𩽖	⿰魚篤
