# 荅
U+8345	荅	⿱艹合

# hkcs_m8345
U+28D80	𨶀	⿵門荅

# hkcs_m8345-p01-s00
U+5273	剳	⿰荅刂

# hkcs_m8345-p02-s00
U+55D2	嗒	⿰口荅
U+5854	塔	⿰土荅
U+642D	搭	⿰扌荅
U+6999	榙	⿰木荅
U+6E9A	溚	⿰氵荅
U+7629	瘩	⿸疒荅
U+8921	褡	⿰衤荅
U+939D	鎝	⿰金荅
U+97B3	鞳	⿰革荅
U+3713	㜓	⿰女荅
U+37F7	㟷	⿰山荅
U+430B	䌋	⿰糸荅
U+2481F	𤠟	⿰犭荅
U+2524C	𥉌	⿰目荅
U+2553D	𥔽	⿰石荅
U+2E1F0	𮇰	⿰米荅

# Simplifications
U+26218	𦈘	⿰纟荅
U+28C4F	𨱏	⿰钅荅
U+28E09	𨸉	⿵门荅
