# 豦
U+8C66	豦	⿸虍豕

# hkcs_m8c66-p02-s00
U+5671	噱	⿰口豦
U+58C9	壉	⿰土豦
U+61C5	懅	⿰忄豦
U+64DA	據	⿰扌豦
U+6FBD	澽	⿰氵豦
U+74A9	璩	⿰王豦
U+81C4	臄	⿰⺼豦
U+8E86	躆	⿰𧾷豦
U+91B5	醵	⿰酉豦
U+943B	鐻	⿰金豦
U+3BEB	㯫	⿰木豦
U+3DFE	㷾	⿰火豦
U+47CA	䟊	⿺走豦
U+24893	𤢓	⿰犭豦
U+27772	𧝲	⿰衤豦

# Variant (䖏)
U+20F25	𠼥	⿰口䖏
U+227F6	𢟶	⿰忄䖏
U+3A40	㩀	⿰扌䖏
U+24A41	𤩁	⿰王䖏

# Variant (Other)
U+2D7A5	𭞥	懅
U+20ED4	𠻔	噱
U+22D03	𢴃	據
U+28B00	𨬀	鐻

# Simplifications
U+2E8F7	𮣷	⿰钅豦
