# 吝
U+541D	吝	⿱文口

# hkcs_m541d
U+608B	悋	⿰忄吝
U+9E90	麐	⿸鹿吝
U+207BA	𠞺	⿰列吝
U+20CFA	𠳺	⿰口吝
U+2162F	𡘯	⿰吝大
U+247BC	𤞼	⿰犭吝
U+27D86	𧶆	⿰貝吝
U+2806E	𨁮	⿰𧾷吝
U+2A2BA	𪊺	⿰鹿吝
U+2B1D6	𫇖	⿰舌吝
U+2B8A7	𫢧	⿰亻吝
U+2CC94	𬲔	⿰飠吝

# Variant (𠫤)
U+20AE4	𠫤	⿱乂厷
U+6061	恡	⿰忄𠫤
U+3581	㖁	⿰口𠫤
U+27D67	𧵧	⿰貝𠫤
U+2A2AD	𪊭	⿰鹿𠫤
U+2A2B1	𪊱	⿸鹿𠫤

U+21DB1	𡶱	⿰山𠫤
U+254A3	𥒣	⿰石𠫤

# Variant (𠯌)
U+20BCC	𠯌	⿱乂右
U+20CC8	𠳈	⿰口𠯌
U+22675	𢙵	⿰忄𠯌

# Variant (𠯛)
U+20BDB	𠯛	⿸𠂇古
